Designator,Footprint,Quantity,Value,LCSC Part #
A1,LattePanda_Module_H8.0mm_Horizontal,1,LattePanda_Mu,
"C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C52, C54, C58, C60, C70, C71, C78, C79",0402,21,100nF/50V,
"C30, C31, C32, C64, C65, C67, C68, C74, C75, C76, C77, C80, C81, C82, C83, C86",0603,16,22uF/10V,
"C49, C50, C55, C56",0402,4,220nF/50V,
"C51, C53, C57, C59",0402,4,10uF/10V,
C66,0402,1,1uF/16V,
"D1, D2, D21, D3, D5, D6, D7, D8",0402,8,ESD5V0B03,
"D15, D16, D17",D_SMA,3,SS54,
"D22, D9",0603,2,LED_G,
D24,D_SOD-323,1,3V3 Izt=5mA,
D4,D_SOD-323,1,1N5819WS,
F1,0603,1,6V/50mA,
"F2, F78",0805,2,6V/1A,
"F4, F5",0805,2,6V/2A,
"J1, J10, J11, J14, J8",PinHeader_1x03_P2.54mm_Vertical,5,Conn_01x03_Pin,
"J12, J13, J7, J82, J9",PinHeader_1x04_P2.54mm_Vertical,5,Conn_01x04_Pin,
J15,PCIe_M.2_Connectors_P=0.5mm_H=4.2mm_KeyM,1,Bus_M.2_Socket_M,
J16,PCIe_M.2_Connectors_P=0.5mm_H=4.2mm_KeyE,1,Bus_M.2_Socket_E,
J3,HDMI_A_Molex_208658-1001_Horizontal,1,HDMI_A,
"J78, J85",SolderWire-1sqmm_1x01_D1.4mm_OD2.7mm,2,Conn_01x01_Pin,
"J79, J80",USB3_A_Molex_48393-001,2,USB3_A,
J81,USB_C_Receptacle_GCT_USB4085,1,USB_C_Receptacle_USB2.0_16P,
"J83, J84",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
JP1,PinHeader_1x03_P2.54mm_Vertical,1,Jumper_3_Bridged12,
"L1, L2",L_Sunlord_SWPA4020S,2,2.2uH/4.3A,
"Q1, Q8",SOT-23,2,2N7002,
"Q2, Q3, Q4",SOT-23,3,2SK3018,
"R1, R11, R47",0402,3,1K/1%,
"R10, R13, R14, R16, R17, R7, R8, R9",0402,8,470R/1%,
"R15, R18, R19, R3, R30, R5, R52, R53",0402,8,2.2K/1%,
"R2, R34, R35, R49, R58, R78, R79",0402,7,10K/1%,
"R27, R29, R32, R33",0402,4,0R/1%,
R4,0402,1,1M/1%,
"R46, R48",0402,2,100R/1%,
"R51, R76, R77",0402,3,100K/1%,
R57,0402,1,75K/1%,
"R59, R6",0402,2,21.5K/1%,
R60,0402,1,4.7K/1%,
"R80, R81",0402,2,5.1K/1%,
TP2,TestPoint_Pad_D1.5mm,1,TestPoint,
"U1, U2",Diodes_UDFN-10_1.0x2.5mm_P0.5mm,2,TPAZ1023-04F,
"U10, U11, U12, U3, U4, U5, U78, U9",Diodes_UDFN-10_1.0x2.5mm_P0.5mm,8,ULC0524P,
"U15, U16",TSOT-23-6,2,SY8253ADC,
